Start_Time,End_Time,Presenter_ID,Class_ID,Room_ID
4/18/15 13:30,4/18/15 14:30,1,1,1
4/18/15 12:00,4/18/15 13:00,2,2,4
4/18/15 13:30,4/18/15 14:30,3,3,2
4/18/15 16:00,4/18/15 17:00,4,4,3
4/18/15 13:30,4/18/15 14:30,5,5,7
4/18/15 14:45,4/18/15 15:45,6,6,3
4/18/15 12:30,4/18/15 13:30,7,7,4
4/18/15 13:30,4/18/15 14:30,8,8,7
4/18/15 16:00,4/18/15 17:00,9,9,1
4/18/15 16:00,4/18/15 17:00,10,10,7
4/18/15 14:45,4/18/15 15:45,11,11,4
4/18/15 11:00,4/18/15 12:00,12,12,7
4/18/15 11:00,4/18/15 12:00,13,13,1
4/18/15 16:00,4/18/15 17:00,14,14,2
4/18/15 12:30,4/18/15 13:30,15,15,7
4/18/15 11:00,4/18/15 12:00,16,16,6
4/18/15 9:45,4/18/15 10:45,17,17,1
4/18/15 14:45,4/18/15 15:45,18,18,1
4/18/15 13:30,4/18/15 14:30,1,19,6
4/18/15 9:45,4/18/15 10:45,5,20,3
4/18/15 9:45,4/18/15 10:45,6,21,4
4/18/15 11:00,4/18/15 12:00,4,22,4
4/18/15 11:00,4/18/15 12:00,7,23,5
4/18/15 11:00,4/18/15 12:00,8,24,3
4/18/15 14:45,4/18/15 15:45,9,31,5
4/18/15 12:30,4/18/15 13:30,1,25,6
4/18/15 16:00,4/18/15 17:00,5,26,4
4/18/15 13:30,4/18/15 14:30,6,27,3
4/18/15 9:45,4/18/15 10:45,15,28,5
4/18/15 9:45,4/18/15 10:45,5,29,6
